testName,numObjects,durationMs,avgCpuPercent,jvmMemoryDelta,peakJvmUsedMemory,systemMemoryDelta
updateTodoPut,1,5,0.00,167792,40175960,63291392
updateTodoPut,10,34,36.26,1999288,41034360,-29605888
updateTodoPut,100,259,38.87,18802488,57474152,0
updateTodoPut,1000,1820,41.95,3885592,126238128,104054784
updateTodoPut,1500,1697,36.48,57452528,121946112,-868352
updateTodoPost,1,2,41.43,356536,117443272,589824
updateTodoPost,10,16,9.52,2780984,117799808,-114688
updateTodoPost,100,114,18.82,-54801408,120226304,3473408
updateTodoPost,1000,940,37.39,42630144,122045952,16433152
updateTodoPost,1500,1262,32.34,2964496,126444032,4833280
deleteMultipleTodos,1,2,43.29,447416,67864112,-98304
deleteMultipleTodos,10,9,22.32,2097152,73708152,-212992
deleteMultipleTodos,100,80,28.84,15314592,62719960,-409600
deleteMultipleTodos,1000,713,31.86,-31862336,181494112,5144576
deleteMultipleTodos,1500,970,26.14,70696208,233355936,-4227072
postMultipleTodos,1,1,0.00,2048,213758976,-229376
postMultipleTodos,10,10,28.62,3145728,214809600,0
postMultipleTodos,100,83,8.54,17823744,217953280,0
postMultipleTodos,1000,601,30.39,19063808,234732544,-3571712
postMultipleTodos,1500,846,27.63,-35988480,253794304,3145728
